date,Arsenal,Tottenham,Chelsea,ManchesterUtd,ManchesterCity,Liverpool,Everton,Southampton,Stoke City,Newcastle United,Crystal Palace,Swansea City,West Ham United,Sunderland,Aston Villa,Hull City,West Brom,Norwich,Fulham,Cardiff City
20130817,16,7,5,2,1,6,10,8,13,20,14,19,4,12,3,18,15,11,9,17
20130824,9,2,5,3,7,1,14,6,10,18,19,20,4,16,8,13,17,15,12,11
20130901,4,6,2,7,3,1,15,10,5,12,14,16,8,19,13,18,20,9,17,11
20130914,2,3,6,5,4,1,9,11,7,8,18,13,10,20,17,16,19,15,14,12
20130922,1,2,4,8,3,5,6,7,10,12,19,9,14,20,13,11,15,17,18,16
20130928,1,3,5,12,7,2,4,6,14,16,19,13,17,20,9,8,10,15,18,11
20131006,1,6,3,9,5,2,7,4,16,11,19,15,13,20,10,8,12,18,17,14
20131020,1,5,2,8,4,3,7,6,16,10,19,11,15,20,13,9,12,18,14,17
20131027,1,4,2,8,7,3,6,5,17,11,20,9,15,19,13,10,12,18,14,16
20131103,1,4,2,8,5,3,7,6,17,9,20,13,15,19,14,10,11,18,16,12
20131110,1,7,4,5,8,2,6,3,17,9,20,13,16,19,11,12,10,15,18,14
20131124,1,9,3,6,4,2,7,5,14,8,19,10,17,20,12,13,11,16,18,15
20131201,1,9,2,8,3,4,5,7,16,6,20,13,15,19,11,10,12,14,18,17
20131204,1,6,2,9,3,4,5,8,14,7,19,11,17,20,10,12,13,16,18,15
20131207,1,6,3,9,4,2,5,8,13,7,19,10,17,20,11,12,15,14,18,16
20131215,1,7,3,8,4,2,5,9,13,6,18,10,17,20,11,12,16,14,19,15
20131222,2,7,4,8,3,1,5,9,10,6,18,11,17,20,13,12,16,14,19,15
20131226,1,8,3,7,2,4,5,9,10,6,17,11,19,20,13,12,15,14,18,16
20131229,1,7,3,6,2,5,4,9,12,8,17,11,19,20,13,10,15,14,18,16
20140101,1,6,3,7,2,4,5,9,12,8,18,13,19,20,11,10,14,15,16,17
20140111,1,6,3,7,2,4,5,9,12,8,20,13,17,19,11,10,14,15,16,18
20140119,1,5,3,7,2,4,6,9,14,8,16,15,18,19,10,11,13,12,17,20
20140129,2,5,3,7,1,4,6,9,16,8,14,11,18,17,10,13,15,12,19,20
20140201,1,6,3,7,2,4,5,9,11,8,17,12,18,14,10,13,16,15,20,19
20140209,2,5,1,7,3,4,6,9,13,8,14,10,15,17,12,11,18,16,20,19
20140212,2,5,1,7,3,4,6,8,15,9,10,11,12,16,13,14,18,17,20,19
20140223,2,5,1,6,3,4,7,9,16,8,12,13,10,18,14,11,17,15,20,19
20140302,4,5,1,7,2,3,6,9,13,8,14,15,10,16,11,12,18,17,20,19
20140308,4,5,1,7,2,3,6,9,12,8,15,13,10,17,11,14,18,16,20,19
20140316,4,6,2,7,1,3,5,8,12,9,13,14,10,16,11,15,18,17,20,19
20140323,4,6,2,7,1,3,5,9,10,8,15,16,11,17,12,13,18,14,20,19
20140330,4,6,3,7,1,2,5,8,10,9,13,14,11,18,12,15,17,16,20,19
20140407,4,6,3,7,1,2,5,8,10,9,12,15,11,18,14,13,16,17,19,20
20140412,4,7,2,6,3,1,5,8,10,9,11,15,12,19,14,13,16,17,18,20
20140419,4,6,3,7,2,1,5,8,10,9,11,13,12,17,15,14,16,18,20,19
20140426,4,6,3,7,1,2,5,8,10,9,11,12,13,16,17,14,15,18,19,20
20140503,4,6,3,7,1,2,5,8,10,9,11,13,12,14,15,16,17,18,19,20
20140511,4,6,3,7,1,2,5,8,9,10,11,12,13,14,15,16,17,18,19,20
